Algorithm,Baseline,originalTitle,originalCategory,Language_50,Reference_50,Religion_50,Science_50,Arts_50,Entertainment_50,Business_50,Society_50,Life_50,People_50,Universe_50,Nature_50,Concepts_50,History_50,Technology_50,Culture_50,Mathematics_50,Sports_50,Politics_50,Geography_50,Humanities_50,World_50,Education_50,Philosophy_50,Law_50,Events_50,Health_50
bloomfilter,RandomBaseline03,Ngatikese language,Language_50,0.04,0.02,0.04,0.02,0.04,0.02,0.0,0.02,0.04,0.04,0.04,0.02,0.04,0.04,0.02,0.02,0.04,0.02,0.04,0.02,0.04,0.04,0.04,0.02,0.04,0.04,0.02
bloomfilter,RandomBaseline03,Official multilingualism,Language_50,0.46,0.46,0.46,0.54,0.46,0.48,0.28,0.46,0.54,0.48,0.4,0.46,0.46,0.5,0.38,0.48,0.54,0.5,0.48,0.52,0.28,0.54,0.56,0.32,0.38,0.52,0.44
bloomfilter,RandomBaseline03,Optimot,Language_50,0.18,0.22,0.16,0.2,0.16,0.16,0.06,0.2,0.22,0.22,0.14,0.18,0.22,0.2,0.16,0.18,0.18,0.16,0.2,0.22,0.18,0.16,0.26,0.08,0.16,0.16,0.18
bloomfilter,RandomBaseline03,Oracy,Language_50,0.1,0.08,0.08,0.08,0.08,0.1,0.04,0.08,0.1,0.1,0.06,0.08,0.1,0.08,0.1,0.1,0.08,0.08,0.1,0.1,0.08,0.1,0.1,0.06,0.1,0.08,0.08
bloomfilter,RandomBaseline03,Oroqen language,Language_50,0.1,0.04,0.04,0.1,0.06,0.08,0.06,0.04,0.06,0.02,0.02,0.06,0.06,0.06,0.04,0.06,0.06,0.08,0.08,0.06,0.04,0.08,0.06,0.02,0.08,0.08,0.04
bloomfilter,RandomBaseline03,Plato's Problem,Language_50,0.9,0.84,0.9,0.86,0.76,0.74,0.18,0.66,0.9,0.82,0.58,0.84,0.88,0.86,0.7,0.86,0.84,0.78,0.86,0.82,0.84,0.84,0.8,0.68,0.66,0.76,0.68
bloomfilter,RandomBaseline03,Presidential Statement,Language_50,0.08,0.04,0.12,0.12,0.06,0.1,0.08,0.06,0.16,0.06,0.08,0.08,0.12,0.12,0.06,0.08,0.12,0.1,0.12,0.1,0.06,0.08,0.14,0.06,0.06,0.14,0.08
bloomfilter,RandomBaseline03,Speech-to-text reporter,Language_50,0.52,0.44,0.6,0.48,0.58,0.5,0.3,0.48,0.64,0.56,0.38,0.5,0.54,0.52,0.52,0.48,0.6,0.52,0.58,0.58,0.42,0.58,0.52,0.44,0.44,0.62,0.56
bloomfilter,RandomBaseline03,Synchrony and diachrony,Language_50,0.3,0.24,0.24,0.3,0.24,0.2,0.08,0.2,0.26,0.24,0.2,0.22,0.24,0.28,0.26,0.24,0.26,0.28,0.26,0.24,0.26,0.28,0.28,0.24,0.18,0.28,0.2
bloomfilter,RandomBaseline03,Syntax,Language_50,0.78,0.68,0.74,0.7,0.64,0.6,0.28,0.6,0.72,0.7,0.46,0.62,0.72,0.72,0.72,0.6,0.68,0.56,0.62,0.72,0.66,0.7,0.68,0.64,0.48,0.58,0.68
bloomfilter,RandomBaseline03,Terminology (disambiguation),Language_50,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
bloomfilter,RandomBaseline03,Total loss,Language_50,0.52,0.6,0.52,0.52,0.56,0.52,0.28,0.56,0.6,0.52,0.38,0.46,0.46,0.46,0.4,0.42,0.64,0.64,0.56,0.58,0.4,0.58,0.68,0.44,0.52,0.64,0.44
bloomfilter,RandomBaseline03,True name,Language_50,0.74,0.48,0.58,0.56,0.48,0.64,0.5,0.28,0.52,0.64,0.5,0.56,0.48,0.66,0.56,0.46,0.66,0.54,0.48,0.44,0.5,0.58,0.42,0.36,0.44,0.52,0.38
bloomfilter,RandomBaseline03,Turn construction unit,Language_50,0.62,0.48,0.52,0.5,0.46,0.42,0.26,0.42,0.56,0.52,0.38,0.42,0.56,0.56,0.4,0.46,0.54,0.48,0.52,0.54,0.54,0.56,0.54,0.32,0.38,0.52,0.44
bloomfilter,RandomBaseline03,Uncial script,Language_50,0.62,0.44,0.44,0.62,0.48,0.66,0.36,0.46,0.6,0.4,0.48,0.48,0.48,0.56,0.48,0.5,0.64,0.38,0.46,0.56,0.38,0.52,0.52,0.38,0.42,0.48,0.46
bloomfilter,RandomBaseline03,Vulgar Latin vocabulary,Language_50,0.48,0.4,0.38,0.44,0.34,0.36,0.28,0.36,0.42,0.38,0.34,0.34,0.36,0.42,0.4,0.38,0.48,0.38,0.42,0.36,0.34,0.4,0.38,0.32,0.3,0.36,0.36
bloomfilter,RandomBaseline03,Writing in space,Language_50,0.7,0.76,0.64,0.6,0.62,0.66,0.36,0.58,0.68,0.6,0.52,0.64,0.64,0.6,0.56,0.64,0.66,0.74,0.58,0.68,0.44,0.64,0.64,0.54,0.56,0.64,0.62
bloomfilter,RandomBaseline03,Yuantang (language game),Language_50,0.18,0.12,0.18,0.12,0.14,0.2,0.18,0.12,0.22,0.22,0.12,0.18,0.16,0.16,0.14,0.08,0.18,0.12,0.16,0.12,0.14,0.16,0.18,0.12,0.14,0.16,0.08
bloomfilter,RandomBaseline03,Acronym,Reference_50,0.82,0.78,0.82,0.82,0.74,0.72,0.34,0.68,0.84,0.74,0.74,0.76,0.82,0.82,0.82,0.82,0.78,0.76,0.78,0.78,0.6,0.82,0.7,0.68,0.74,0.84,0.74
bloomfilter,RandomBaseline03,Acronym Finder,Reference_50,0.58,0.5,0.54,0.6,0.6,0.58,0.4,0.52,0.64,0.58,0.48,0.54,0.56,0.68,0.54,0.54,0.7,0.6,0.58,0.64,0.5,0.56,0.56,0.5,0.5,0.56,0.66
bloomfilter,RandomBaseline03,Almanac,Reference_50,0.7,0.76,0.66,0.62,0.62,0.64,0.26,0.68,0.7,0.6,0.48,0.68,0.58,0.8,0.58,0.74,0.72,0.82,0.68,0.68,0.68,0.68,0.68,0.52,0.64,0.72,0.68
bloomfilter,RandomBaseline03,Annotation,Reference_50,0.8,0.64,0.74,0.64,0.68,0.7,0.34,0.74,0.8,0.78,0.52,0.56,0.78,0.74,0.62,0.66,0.82,0.72,0.66,0.76,0.56,0.72,0.78,0.52,0.54,0.76,0.7
bloomfilter,RandomBaseline03,Apples and oranges,Reference_50,0.42,0.4,0.5,0.48,0.42,0.52,0.3,0.3,0.46,0.5,0.36,0.46,0.36,0.44,0.5,0.36,0.44,0.42,0.38,0.46,0.32,0.46,0.4,0.42,0.34,0.36,0.42
bloomfilter,RandomBaseline03,Bekker numbering,Reference_50,0.58,0.52,0.56,0.6,0.54,0.56,0.3,0.54,0.6,0.46,0.4,0.44,0.44,0.66,0.6,0.6,0.62,0.64,0.44,0.52,0.52,0.54,0.54,0.54,0.4,0.52,0.48
bloomfilter,RandomBaseline03,Bible (screenwriting),Reference_50,0.4,0.4,0.28,0.38,0.38,0.48,0.34,0.34,0.42,0.3,0.24,0.38,0.32,0.36,0.32,0.38,0.42,0.38,0.32,0.4,0.22,0.38,0.42,0.36,0.34,0.4,0.36
bloomfilter,RandomBaseline03,Citation dynamics,Reference_50,0.42,0.42,0.34,0.4,0.38,0.3,0.14,0.32,0.38,0.44,0.24,0.44,0.34,0.38,0.32,0.42,0.38,0.44,0.46,0.4,0.34,0.34,0.44,0.44,0.38,0.32,0.42
bloomfilter,RandomBaseline03,Comparative Toxicogenomics Database,Reference_50,0.5,0.54,0.44,0.46,0.44,0.44,0.06,0.5,0.5,0.52,0.26,0.48,0.44,0.52,0.36,0.5,0.5,0.44,0.5,0.48,0.34,0.48,0.52,0.44,0.34,0.38,0.46
bloomfilter,RandomBaseline03,Comparative bullet-lead analysis,Reference_50,0.48,0.46,0.42,0.44,0.42,0.58,0.26,0.36,0.5,0.42,0.3,0.32,0.48,0.44,0.36,0.46,0.6,0.4,0.48,0.5,0.3,0.46,0.54,0.34,0.34,0.54,0.38
bloomfilter,RandomBaseline03,Comparative neuropsychology,Reference_50,0.66,0.6,0.62,0.58,0.6,0.5,0.34,0.58,0.64,0.6,0.26,0.5,0.54,0.58,0.56,0.58,0.66,0.5,0.66,0.7,0.6,0.64,0.74,0.36,0.4,0.42,0.46
bloomfilter,RandomBaseline03,Comparative physiology,Reference_50,0.7,0.68,0.64,0.78,0.48,0.68,0.18,0.6,0.7,0.72,0.4,0.66,0.66,0.64,0.52,0.58,0.6,0.68,0.64,0.68,0.58,0.72,0.68,0.52,0.52,0.52,0.6
bloomfilter,RandomBaseline03,Comparison of professional wrestling and mixed martial arts,Reference_50,0.34,0.32,0.34,0.3,0.3,0.46,0.42,0.34,0.4,0.3,0.18,0.26,0.3,0.36,0.34,0.28,0.38,0.4,0.28,0.34,0.24,0.46,0.38,0.2,0.5,0.32,0.32
bloomfilter,RandomBaseline03,Cross-reference,Reference_50,0.4,0.38,0.32,0.36,0.4,0.38,0.16,0.4,0.44,0.28,0.3,0.34,0.36,0.34,0.36,0.38,0.44,0.32,0.36,0.44,0.3,0.38,0.38,0.28,0.26,0.34,0.34
bloomfilter,RandomBaseline03,Errors and omissions excepted,Reference_50,0.24,0.2,0.26,0.26,0.24,0.22,0.12,0.22,0.26,0.2,0.16,0.22,0.26,0.22,0.24,0.24,0.26,0.26,0.22,0.3,0.22,0.2,0.24,0.22,0.16,0.22,0.24
bloomfilter,RandomBaseline03,Guide to information sources,Reference_50,0.28,0.28,0.22,0.3,0.28,0.24,0.1,0.24,0.26,0.24,0.14,0.22,0.34,0.22,0.26,0.22,0.28,0.24,0.24,0.3,0.2,0.22,0.3,0.28,0.16,0.22,0.24
bloomfilter,RandomBaseline03,Hebrew abbreviations,Reference_50,0.62,0.44,0.54,0.66,0.62,0.58,0.3,0.48,0.66,0.52,0.48,0.56,0.66,0.72,0.68,0.6,0.66,0.58,0.58,0.66,0.52,0.6,0.54,0.5,0.52,0.6,0.54
bloomfilter,RandomBaseline03,I (pronoun),Reference_50,0.58,0.48,0.54,0.52,0.4,0.46,0.22,0.38,0.46,0.46,0.3,0.36,0.5,0.46,0.46,0.44,0.44,0.34,0.42,0.4,0.42,0.48,0.4,0.34,0.36,0.46,0.38
bloomfilter,RandomBaseline03,Info,Reference_50,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.02,0.02,0.02,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
bloomfilter,RandomBaseline03,Informationsdienst Wissenschaft,Reference_50,0.5,0.5,0.58,0.5,0.54,0.58,0.3,0.56,0.7,0.52,0.36,0.44,0.46,0.52,0.5,0.56,0.66,0.58,0.54,0.58,0.36,0.54,0.62,0.48,0.4,0.5,0.56
bloomfilter,RandomBaseline03,Integrative and Comparative Biology,Reference_50,0.0,0.02,0.02,0.02,0.02,0.02,0.0,0.02,0.04,0.02,0.02,0.02,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.02,0.02,0.02,0.02,0.0,0.0,0.02
bloomfilter,RandomBaseline03,List of Latin abbreviations,Reference_50,0.3,0.22,0.26,0.24,0.22,0.26,0.16,0.26,0.3,0.26,0.22,0.2,0.26,0.3,0.26,0.28,0.3,0.26,0.32,0.26,0.22,0.28,0.32,0.2,0.18,0.26,0.24
bloomfilter,RandomBaseline03,Museum of Comparative Zoology,Reference_50,0.56,0.52,0.36,0.56,0.5,0.6,0.32,0.36,0.52,0.46,0.36,0.42,0.4,0.54,0.4,0.54,0.54,0.52,0.48,0.52,0.3,0.52,0.46,0.38,0.36,0.48,0.46
bloomfilter,RandomBaseline03,Non-well-founded set theory,Reference_50,0.66,0.62,0.72,0.68,0.56,0.58,0.24,0.52,0.64,0.62,0.42,0.64,0.64,0.6,0.58,0.54,0.62,0.52,0.56,0.62,0.58,0.66,0.6,0.66,0.42,0.62,0.54
bloomfilter,RandomBaseline03,Note (typography),Reference_50,0.8,0.64,0.72,0.74,0.74,0.72,0.4,0.64,0.72,0.64,0.58,0.56,0.68,0.78,0.74,0.78,0.78,0.7,0.6,0.68,0.56,0.66,0.7,0.62,0.5,0.68,0.56
bloomfilter,RandomBaseline03,Observer's Books,Reference_50,0.52,0.54,0.54,0.52,0.54,0.6,0.4,0.48,0.62,0.56,0.38,0.46,0.42,0.56,0.44,0.54,0.54,0.6,0.54,0.52,0.38,0.46,0.52,0.48,0.42,0.48,0.52
bloomfilter,RandomBaseline03,Primary source,Reference_50,0.9,0.82,0.74,0.88,0.74,0.78,0.3,0.76,0.86,0.74,0.72,0.72,0.78,0.84,0.78,0.8,0.84,0.76,0.72,0.86,0.74,0.84,0.86,0.66,0.54,0.84,0.72
bloomfilter,RandomBaseline03,Qualitative comparative analysis,Reference_50,0.62,0.72,0.76,0.64,0.56,0.52,0.3,0.6,0.74,0.6,0.32,0.68,0.68,0.62,0.5,0.68,0.76,0.56,0.64,0.72,0.58,0.72,0.7,0.72,0.46,0.58,0.62
bloomfilter,RandomBaseline03,Reference interview,Reference_50,0.6,0.62,0.52,0.66,0.6,0.64,0.34,0.52,0.78,0.62,0.38,0.62,0.76,0.6,0.66,0.66,0.68,0.6,0.6,0.68,0.48,0.66,0.7,0.54,0.54,0.58,0.5
bloomfilter,RandomBaseline03,SDS-PAGE,Reference_50,0.58,0.72,0.44,0.5,0.44,0.54,0.34,0.32,0.48,0.42,0.28,0.56,0.42,0.46,0.4,0.46,0.46,0.48,0.54,0.54,0.32,0.36,0.48,0.42,0.42,0.42,0.44
bloomfilter,RandomBaseline03,Scribal abbreviation,Reference_50,0.8,0.56,0.64,0.68,0.6,0.74,0.36,0.66,0.68,0.66,0.58,0.6,0.72,0.78,0.68,0.66,0.7,0.62,0.6,0.7,0.56,0.62,0.58,0.58,0.52,0.6,0.58
bloomfilter,RandomBaseline03,Stumpers-L,Reference_50,0.34,0.28,0.34,0.32,0.34,0.36,0.1,0.32,0.36,0.28,0.24,0.32,0.36,0.32,0.24,0.34,0.36,0.32,0.3,0.32,0.28,0.32,0.34,0.32,0.28,0.32,0.36
bloomfilter,RandomBaseline03,Text annotation,Reference_50,0.88,0.68,0.74,0.72,0.8,0.78,0.38,0.64,0.94,0.66,0.5,0.68,0.8,0.72,0.6,0.64,0.8,0.7,0.78,0.82,0.62,0.74,0.76,0.6,0.52,0.72,0.68
bloomfilter,RandomBaseline03,Thesaurus,Reference_50,0.64,0.52,0.5,0.52,0.52,0.54,0.18,0.48,0.56,0.52,0.44,0.46,0.52,0.56,0.6,0.48,0.52,0.48,0.46,0.54,0.5,0.52,0.52,0.48,0.4,0.52,0.54
bloomfilter,RandomBaseline03,Three-letter acronym,Reference_50,0.38,0.24,0.32,0.32,0.3,0.26,0.14,0.32,0.38,0.28,0.32,0.32,0.34,0.32,0.36,0.32,0.32,0.32,0.28,0.3,0.22,0.34,0.3,0.3,0.24,0.32,0.3
bloomfilter,RandomBaseline03,William Chaffers,Reference_50,0.44,0.28,0.3,0.36,0.32,0.5,0.4,0.2,0.44,0.38,0.26,0.3,0.26,0.4,0.28,0.34,0.3,0.3,0.32,0.36,0.24,0.36,0.36,0.28,0.32,0.32,0.38
bloomfilter,RandomBaseline03,Xmas,Reference_50,0.62,0.4,0.48,0.58,0.48,0.58,0.46,0.44,0.62,0.5,0.52,0.44,0.4,0.64,0.42,0.52,0.68,0.6,0.5,0.62,0.44,0.56,0.5,0.44,0.52,0.6,0.5
bloomfilter,RandomBaseline03,1888–1893 Uprisings of Hazaras,Religion_50,0.58,0.42,0.3,0.52,0.42,0.46,0.4,0.38,0.56,0.38,0.54,0.34,0.3,0.5,0.32,0.44,0.68,0.42,0.52,0.42,0.3,0.46,0.54,0.22,0.48,0.74,0.36
bloomfilter,RandomBaseline03,A Mathematician's Apology,Religion_50,0.7,0.54,0.66,0.54,0.48,0.6,0.38,0.38,0.64,0.6,0.46,0.48,0.52,0.62,0.44,0.56,0.56,0.5,0.52,0.64,0.56,0.56,0.6,0.46,0.32,0.54,0.46
bloomfilter,RandomBaseline03,Agasha Temple of Wisdom,Religion_50,0.2,0.18,0.2,0.22,0.2,0.16,0.1,0.2,0.24,0.18,0.14,0.14,0.18,0.24,0.2,0.22,0.22,0.16,0.18,0.18,0.14,0.2,0.18,0.14,0.16,0.22,0.16
bloomfilter,RandomBaseline03,Alatrism,Religion_50,0.14,0.1,0.1,0.16,0.08,0.14,0.06,0.04,0.12,0.14,0.08,0.12,0.1,0.2,0.08,0.1,0.14,0.08,0.08,0.08,0.1,0.14,0.1,0.08,0.04,0.1,0.04
bloomfilter,RandomBaseline03,Burkitt Medal,Religion_50,0.04,0.04,0.02,0.06,0.06,0.04,0.02,0.04,0.04,0.04,0.04,0.06,0.04,0.06,0.06,0.06,0.06,0.06,0.04,0.04,0.06,0.04,0.06,0.04,0.06,0.04,0.04
bloomfilter,RandomBaseline03,Civil religion,Religion_50,0.84,0.58,0.54,0.74,0.44,0.64,0.3,0.56,0.64,0.64,0.62,0.56,0.54,0.82,0.58,0.64,0.8,0.54,0.54,0.62,0.56,0.68,0.72,0.38,0.5,0.64,0.54
bloomfilter,RandomBaseline03,Compensationism,Religion_50,0.28,0.26,0.3,0.24,0.24,0.26,0.14,0.22,0.28,0.34,0.22,0.3,0.3,0.32,0.24,0.24,0.3,0.3,0.24,0.26,0.26,0.3,0.28,0.2,0.18,0.22,0.22
bloomfilter,RandomBaseline03,Criticism of Judaism,Religion_50,0.82,0.62,0.64,0.8,0.44,0.62,0.32,0.58,0.72,0.6,0.5,0.52,0.5,0.86,0.68,0.66,0.7,0.62,0.6,0.62,0.74,0.68,0.68,0.56,0.4,0.7,0.52
bloomfilter,RandomBaseline03,Criticism of religion,Religion_50,0.8,0.62,0.74,0.82,0.62,0.66,0.32,0.58,0.86,0.8,0.64,0.64,0.6,0.9,0.66,0.76,0.84,0.7,0.76,0.74,0.7,0.78,0.8,0.46,0.58,0.8,0.56
bloomfilter,RandomBaseline03,Dini Ya Msambwa,Religion_50,0.74,0.6,0.64,0.66,0.58,0.62,0.32,0.5,0.62,0.56,0.54,0.54,0.58,0.64,0.56,0.6,0.6,0.56,0.66,0.62,0.46,0.66,0.68,0.44,0.42,0.66,0.5
bloomfilter,RandomBaseline03,Disputationes,Religion_50,0.68,0.6,0.62,0.7,0.5,0.6,0.2,0.5,0.76,0.52,0.56,0.52,0.6,0.72,0.5,0.58,0.72,0.54,0.6,0.58,0.56,0.64,0.62,0.52,0.44,0.72,0.54
bloomfilter,RandomBaseline03,Diurnal offices,Religion_50,0.04,0.06,0.06,0.06,0.06,0.06,0.06,0.04,0.02,0.06,0.06,0.06,0.04,0.06,0.04,0.04,0.02,0.08,0.08,0.04,0.04,0.02,0.02,0.02,0.06,0.04,0.0
bloomfilter,RandomBaseline03,Earthseed,Religion_50,0.7,0.62,0.58,0.66,0.56,0.58,0.44,0.5,0.74,0.74,0.48,0.58,0.6,0.7,0.52,0.62,0.6,0.54,0.62,0.6,0.5,0.66,0.64,0.38,0.42,0.5,0.44
