Algorithm,Baseline,originalTitle,originalCategory,Language_50,Reference_50,Religion_50,Science_50,Arts_50,Entertainment_50,Business_50,Society_50,Life_50,People_50,Universe_50,Nature_50,Concepts_50,History_50,Technology_50,Culture_50,Mathematics_50,Sports_50,Politics_50,Geography_50,Humanities_50,World_50,Education_50,Philosophy_50,Law_50,Events_50,Health_50
bloomfilter,RandomBaseline_test,Mock language,Language_50,0.5,0.44,0.5,0.46,0.34,0.48,0.56,0.42,0.54,0.44,0.36,0.38,0.64,0.42,0.56,0.44,0.48,0.4,0.5,0.48,0.4,0.5,0.48,0.4,0.36,0.38,0.46
bloomfilter,RandomBaseline_test,National Center for Voice and Speech,Language_50,0.36,0.26,0.28,0.42,0.38,0.4,0.44,0.42,0.44,0.36,0.26,0.3,0.52,0.4,0.36,0.38,0.38,0.3,0.66,0.46,0.34,0.4,0.46,0.36,0.36,0.24,0.38
bloomfilter,RandomBaseline_test,Navajo Family Sign,Language_50,0.1,0.04,0.06,0.06,0.06,0.06,0.08,0.06,0.1,0.06,0.04,0.02,0.1,0.08,0.08,0.08,0.06,0.04,0.1,0.08,0.04,0.08,0.08,0.06,0.06,0.06,0.06
bloomfilter,RandomBaseline_test,Ngatikese language,Language_50,0.04,0.02,0.06,0.04,0.02,0.02,0.04,0.04,0.06,0.04,0.02,0.02,0.06,0.04,0.04,0.04,0.04,0.02,0.04,0.04,0.06,0.06,0.04,0.04,0.02,0.02,0.02
bloomfilter,RandomBaseline_test,Official multilingualism,Language_50,0.36,0.32,0.38,0.4,0.36,0.34,0.34,0.44,0.46,0.3,0.38,0.28,0.46,0.34,0.34,0.38,0.6,0.3,0.36,0.54,0.3,0.46,0.66,0.26,0.32,0.48,0.34
bloomfilter,RandomBaseline_test,Optimot,Language_50,0.28,0.26,0.3,0.32,0.24,0.26,0.22,0.36,0.34,0.24,0.22,0.22,0.34,0.28,0.22,0.28,0.38,0.22,0.34,0.44,0.2,0.32,0.28,0.16,0.22,0.26,0.28
bloomfilter,RandomBaseline_test,Oracy,Language_50,0.12,0.02,0.08,0.06,0.12,0.12,0.1,0.08,0.06,0.12,0.04,0.04,0.1,0.06,0.06,0.08,0.1,0.06,0.08,0.12,0.06,0.1,0.12,0.04,0.06,0.02,0.04
bloomfilter,RandomBaseline_test,Oroqen language,Language_50,0.08,0.02,0.06,0.12,0.06,0.06,0.08,0.08,0.08,0.02,0.04,0.04,0.08,0.04,0.06,0.06,0.08,0.04,0.06,0.1,0.08,0.06,0.06,0.04,0.08,0.08,0.06
bloomfilter,RandomBaseline_test,Plato's Problem,Language_50,0.68,0.52,0.68,0.66,0.52,0.54,0.4,0.5,0.6,0.54,0.42,0.52,0.68,0.58,0.56,0.66,0.56,0.42,0.52,0.64,0.66,0.66,0.52,0.54,0.3,0.34,0.48
bloomfilter,RandomBaseline_test,Presidential Statement,Language_50,0.04,0.0,0.06,0.08,0.04,0.02,0.06,0.1,0.16,0.02,0.08,0.04,0.1,0.06,0.02,0.0,0.1,0.04,0.08,0.02,0.04,0.06,0.14,0.06,0.06,0.12,0.06
bloomfilter,RandomBaseline_test,Speech-to-text reporter,Language_50,0.36,0.32,0.46,0.34,0.44,0.4,0.36,0.4,0.54,0.38,0.36,0.26,0.54,0.44,0.46,0.38,0.4,0.36,0.5,0.44,0.42,0.5,0.44,0.3,0.36,0.28,0.4
bloomfilter,RandomBaseline_test,Synchrony and diachrony,Language_50,0.36,0.28,0.3,0.36,0.3,0.24,0.18,0.3,0.32,0.24,0.24,0.28,0.3,0.36,0.32,0.24,0.3,0.2,0.16,0.26,0.34,0.3,0.28,0.32,0.14,0.16,0.26
bloomfilter,RandomBaseline_test,Syntax,Language_50,0.52,0.44,0.56,0.44,0.42,0.48,0.32,0.44,0.44,0.38,0.4,0.44,0.6,0.46,0.56,0.56,0.5,0.44,0.28,0.46,0.52,0.62,0.46,0.66,0.22,0.22,0.42
bloomfilter,RandomBaseline_test,Terminology (disambiguation),Language_50,0.04,0.04,0.06,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.06,0.02,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.02,0.04
bloomfilter,RandomBaseline_test,Total loss,Language_50,0.34,0.34,0.48,0.34,0.36,0.3,0.4,0.42,0.4,0.4,0.3,0.32,0.4,0.3,0.28,0.32,0.48,0.6,0.46,0.36,0.28,0.3,0.48,0.26,0.34,0.38,0.42
bloomfilter,RandomBaseline_test,True name,Language_50,0.5,0.24,0.4,0.32,0.28,0.48,0.46,0.28,0.4,0.4,0.38,0.26,0.46,0.5,0.38,0.3,0.26,0.36,0.38,0.24,0.4,0.38,0.28,0.26,0.22,0.24,0.26
bloomfilter,RandomBaseline_test,Turn construction unit,Language_50,0.42,0.3,0.4,0.32,0.4,0.34,0.34,0.38,0.36,0.38,0.16,0.32,0.48,0.32,0.34,0.38,0.3,0.4,0.24,0.34,0.4,0.48,0.34,0.26,0.24,0.28,0.28
bloomfilter,RandomBaseline_test,Uncial script,Language_50,0.36,0.28,0.36,0.42,0.28,0.46,0.36,0.34,0.34,0.34,0.3,0.34,0.4,0.36,0.42,0.34,0.38,0.36,0.3,0.48,0.26,0.44,0.32,0.24,0.3,0.24,0.36
bloomfilter,RandomBaseline_test,Vulgar Latin vocabulary,Language_50,0.44,0.24,0.3,0.4,0.26,0.36,0.32,0.34,0.3,0.34,0.26,0.24,0.32,0.28,0.38,0.26,0.32,0.36,0.28,0.32,0.22,0.44,0.3,0.36,0.2,0.28,0.28
bloomfilter,RandomBaseline_test,Writing in space,Language_50,0.28,0.5,0.32,0.36,0.4,0.38,0.34,0.36,0.34,0.38,0.12,0.44,0.34,0.28,0.26,0.38,0.28,0.4,0.36,0.34,0.16,0.38,0.38,0.32,0.28,0.3,0.36
bloomfilter,RandomBaseline_test,Yuantang (language game),Language_50,0.18,0.08,0.18,0.2,0.1,0.24,0.22,0.14,0.22,0.22,0.14,0.12,0.2,0.14,0.16,0.14,0.16,0.1,0.14,0.12,0.12,0.2,0.16,0.14,0.14,0.1,0.1
bloomfilter,RandomBaseline_test,Acronym,Reference_50,0.6,0.4,0.5,0.6,0.5,0.58,0.58,0.64,0.6,0.46,0.54,0.44,0.62,0.52,0.6,0.54,0.66,0.52,0.54,0.64,0.42,0.66,0.6,0.46,0.44,0.5,0.54
bloomfilter,RandomBaseline_test,Acronym Finder,Reference_50,0.34,0.36,0.38,0.34,0.38,0.44,0.36,0.4,0.52,0.34,0.36,0.38,0.4,0.34,0.56,0.34,0.48,0.42,0.3,0.38,0.28,0.42,0.36,0.4,0.3,0.3,0.52
bloomfilter,RandomBaseline_test,Almanac,Reference_50,0.46,0.44,0.38,0.38,0.36,0.42,0.46,0.32,0.42,0.36,0.42,0.48,0.34,0.46,0.36,0.46,0.46,0.48,0.38,0.46,0.34,0.44,0.44,0.38,0.34,0.26,0.46
bloomfilter,RandomBaseline_test,Annotation,Reference_50,0.52,0.4,0.44,0.52,0.44,0.44,0.46,0.48,0.58,0.44,0.3,0.44,0.6,0.44,0.48,0.46,0.42,0.32,0.38,0.6,0.42,0.5,0.38,0.38,0.32,0.34,0.5
bloomfilter,RandomBaseline_test,Apples and oranges,Reference_50,0.4,0.34,0.42,0.26,0.34,0.36,0.4,0.3,0.38,0.36,0.28,0.36,0.36,0.34,0.46,0.32,0.3,0.28,0.34,0.3,0.28,0.34,0.24,0.42,0.3,0.2,0.38
bloomfilter,RandomBaseline_test,Bekker numbering,Reference_50,0.54,0.44,0.44,0.4,0.38,0.5,0.46,0.46,0.44,0.38,0.32,0.46,0.56,0.54,0.74,0.5,0.52,0.38,0.32,0.5,0.32,0.5,0.26,0.6,0.26,0.36,0.48
bloomfilter,RandomBaseline_test,Bible (screenwriting),Reference_50,0.34,0.28,0.26,0.32,0.3,0.44,0.46,0.3,0.36,0.28,0.18,0.32,0.3,0.32,0.36,0.32,0.32,0.4,0.24,0.28,0.26,0.32,0.32,0.28,0.28,0.26,0.38
bloomfilter,RandomBaseline_test,Citation dynamics,Reference_50,0.34,0.46,0.38,0.38,0.28,0.34,0.26,0.32,0.36,0.34,0.18,0.36,0.34,0.28,0.28,0.28,0.34,0.3,0.4,0.38,0.3,0.32,0.36,0.42,0.22,0.34,0.32
bloomfilter,RandomBaseline_test,Comparative Toxicogenomics Database,Reference_50,0.32,0.48,0.42,0.52,0.32,0.32,0.26,0.54,0.52,0.46,0.16,0.48,0.44,0.44,0.3,0.52,0.42,0.3,0.56,0.52,0.34,0.46,0.54,0.42,0.28,0.22,0.48
bloomfilter,RandomBaseline_test,Comparative bullet-lead analysis,Reference_50,0.34,0.36,0.32,0.32,0.22,0.48,0.28,0.36,0.42,0.28,0.2,0.3,0.44,0.3,0.3,0.36,0.42,0.32,0.38,0.38,0.28,0.36,0.46,0.34,0.24,0.34,0.34
bloomfilter,RandomBaseline_test,Comparative neuropsychology,Reference_50,0.4,0.38,0.42,0.36,0.36,0.34,0.18,0.4,0.4,0.38,0.12,0.28,0.36,0.34,0.36,0.34,0.44,0.14,0.48,0.5,0.32,0.44,0.5,0.36,0.28,0.24,0.34
bloomfilter,RandomBaseline_test,Comparative physiology,Reference_50,0.48,0.44,0.32,0.48,0.34,0.42,0.32,0.44,0.46,0.52,0.32,0.46,0.4,0.44,0.46,0.44,0.44,0.24,0.38,0.46,0.48,0.5,0.36,0.4,0.2,0.26,0.38
bloomfilter,RandomBaseline_test,Comparison of professional wrestling and mixed martial arts,Reference_50,0.32,0.26,0.28,0.22,0.22,0.32,0.38,0.28,0.3,0.24,0.16,0.18,0.32,0.2,0.26,0.24,0.16,0.28,0.2,0.3,0.14,0.34,0.32,0.14,0.5,0.2,0.26
bloomfilter,RandomBaseline_test,Cross-reference,Reference_50,0.24,0.18,0.14,0.22,0.32,0.3,0.18,0.32,0.4,0.24,0.14,0.26,0.3,0.2,0.22,0.26,0.3,0.22,0.26,0.38,0.26,0.26,0.26,0.22,0.2,0.18,0.26
bloomfilter,RandomBaseline_test,Errors and omissions excepted,Reference_50,0.18,0.16,0.2,0.16,0.18,0.14,0.18,0.16,0.2,0.16,0.08,0.14,0.24,0.14,0.2,0.14,0.12,0.22,0.14,0.2,0.14,0.14,0.18,0.16,0.14,0.18,0.2
bloomfilter,RandomBaseline_test,Guide to information sources,Reference_50,0.38,0.3,0.22,0.34,0.28,0.32,0.22,0.24,0.34,0.3,0.16,0.3,0.34,0.32,0.4,0.22,0.36,0.22,0.26,0.4,0.3,0.3,0.26,0.3,0.2,0.18,0.26
bloomfilter,RandomBaseline_test,Hebrew abbreviations,Reference_50,0.46,0.32,0.42,0.4,0.46,0.42,0.44,0.36,0.46,0.34,0.36,0.34,0.52,0.46,0.48,0.42,0.4,0.32,0.36,0.48,0.32,0.44,0.38,0.38,0.34,0.32,0.3
bloomfilter,RandomBaseline_test,I (pronoun),Reference_50,0.28,0.22,0.3,0.26,0.26,0.24,0.26,0.24,0.26,0.24,0.22,0.16,0.42,0.18,0.32,0.24,0.18,0.14,0.16,0.28,0.28,0.36,0.22,0.24,0.14,0.14,0.22
bloomfilter,RandomBaseline_test,Info,Reference_50,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.02,0.02,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.02
bloomfilter,RandomBaseline_test,Informationsdienst Wissenschaft,Reference_50,0.38,0.4,0.46,0.46,0.5,0.5,0.44,0.64,0.66,0.46,0.28,0.42,0.4,0.44,0.42,0.42,0.54,0.48,0.5,0.52,0.3,0.46,0.54,0.42,0.38,0.48,0.58
bloomfilter,RandomBaseline_test,Integrative and Comparative Biology,Reference_50,0.02,0.08,0.0,0.04,0.02,0.06,0.02,0.04,0.04,0.06,0.04,0.04,0.0,0.06,0.06,0.06,0.08,0.02,0.02,0.04,0.06,0.04,0.0,0.02,0.02,0.02,0.06
bloomfilter,RandomBaseline_test,List of Latin abbreviations,Reference_50,0.18,0.2,0.3,0.22,0.22,0.28,0.26,0.28,0.24,0.24,0.22,0.18,0.34,0.18,0.3,0.2,0.28,0.2,0.26,0.3,0.18,0.3,0.28,0.22,0.12,0.24,0.24
bloomfilter,RandomBaseline_test,Museum of Comparative Zoology,Reference_50,0.32,0.32,0.18,0.26,0.24,0.34,0.26,0.26,0.36,0.32,0.28,0.2,0.26,0.3,0.26,0.24,0.36,0.28,0.22,0.3,0.18,0.48,0.28,0.32,0.22,0.18,0.36
bloomfilter,RandomBaseline_test,Non-well-founded set theory,Reference_50,0.58,0.42,0.54,0.44,0.48,0.46,0.36,0.52,0.54,0.42,0.3,0.46,0.54,0.42,0.46,0.48,0.4,0.34,0.44,0.46,0.5,0.56,0.42,0.56,0.24,0.36,0.4
bloomfilter,RandomBaseline_test,Note (typography),Reference_50,0.54,0.34,0.4,0.4,0.34,0.48,0.42,0.42,0.46,0.32,0.28,0.36,0.6,0.48,0.6,0.48,0.46,0.32,0.3,0.48,0.28,0.4,0.3,0.52,0.24,0.32,0.44
bloomfilter,RandomBaseline_test,Observer's Books,Reference_50,0.28,0.3,0.3,0.34,0.24,0.32,0.34,0.36,0.28,0.38,0.24,0.26,0.3,0.34,0.3,0.26,0.32,0.34,0.34,0.32,0.24,0.34,0.3,0.3,0.28,0.26,0.3
bloomfilter,RandomBaseline_test,Primary source,Reference_50,0.66,0.58,0.5,0.62,0.46,0.54,0.48,0.46,0.6,0.52,0.42,0.5,0.56,0.6,0.62,0.52,0.48,0.44,0.42,0.6,0.54,0.54,0.52,0.6,0.4,0.46,0.56
bloomfilter,RandomBaseline_test,Qualitative comparative analysis,Reference_50,0.54,0.54,0.68,0.5,0.48,0.42,0.36,0.6,0.5,0.44,0.2,0.5,0.62,0.38,0.42,0.6,0.38,0.46,0.56,0.56,0.5,0.52,0.52,0.54,0.34,0.38,0.52
bloomfilter,RandomBaseline_test,Reference interview,Reference_50,0.38,0.28,0.36,0.4,0.42,0.34,0.34,0.44,0.48,0.5,0.32,0.4,0.52,0.42,0.46,0.4,0.48,0.36,0.42,0.48,0.24,0.42,0.42,0.38,0.3,0.24,0.3
bloomfilter,RandomBaseline_test,SDS-PAGE,Reference_50,0.26,0.5,0.4,0.34,0.3,0.32,0.18,0.3,0.3,0.3,0.12,0.4,0.3,0.18,0.22,0.32,0.22,0.26,0.44,0.3,0.22,0.26,0.24,0.32,0.24,0.3,0.3
bloomfilter,RandomBaseline_test,Scribal abbreviation,Reference_50,0.62,0.42,0.48,0.48,0.42,0.5,0.46,0.44,0.52,0.42,0.34,0.46,0.56,0.58,0.58,0.42,0.48,0.38,0.38,0.56,0.36,0.54,0.4,0.5,0.32,0.3,0.42
bloomfilter,RandomBaseline_test,Stumpers-L,Reference_50,0.34,0.2,0.28,0.3,0.28,0.34,0.32,0.36,0.34,0.28,0.24,0.3,0.42,0.34,0.24,0.34,0.4,0.3,0.32,0.36,0.14,0.36,0.26,0.34,0.14,0.26,0.3
bloomfilter,RandomBaseline_test,Text annotation,Reference_50,0.6,0.46,0.46,0.38,0.62,0.52,0.42,0.52,0.62,0.48,0.34,0.44,0.68,0.48,0.38,0.5,0.52,0.36,0.38,0.66,0.36,0.52,0.56,0.46,0.34,0.4,0.46
bloomfilter,RandomBaseline_test,Thesaurus,Reference_50,0.5,0.46,0.38,0.46,0.46,0.5,0.44,0.4,0.44,0.44,0.3,0.36,0.54,0.46,0.6,0.42,0.42,0.4,0.36,0.54,0.46,0.52,0.38,0.5,0.22,0.22,0.42
bloomfilter,RandomBaseline_test,Three-letter acronym,Reference_50,0.36,0.3,0.34,0.32,0.24,0.36,0.28,0.38,0.4,0.3,0.32,0.28,0.36,0.3,0.46,0.32,0.32,0.28,0.28,0.34,0.26,0.4,0.24,0.36,0.22,0.28,0.3
bloomfilter,RandomBaseline_test,William Chaffers,Reference_50,0.36,0.24,0.18,0.36,0.26,0.5,0.4,0.22,0.3,0.22,0.3,0.26,0.2,0.38,0.26,0.2,0.3,0.26,0.22,0.32,0.24,0.38,0.22,0.32,0.22,0.22,0.36
bloomfilter,RandomBaseline_test,Xmas,Reference_50,0.44,0.24,0.3,0.4,0.3,0.56,0.42,0.32,0.38,0.34,0.38,0.28,0.3,0.46,0.42,0.36,0.42,0.46,0.26,0.28,0.28,0.46,0.26,0.3,0.22,0.3,0.32
bloomfilter,RandomBaseline_test,1888–1893 Uprisings of Hazaras,Religion_50,0.32,0.26,0.24,0.34,0.28,0.28,0.38,0.3,0.38,0.26,0.36,0.22,0.26,0.32,0.2,0.2,0.46,0.3,0.34,0.28,0.24,0.24,0.44,0.18,0.34,0.48,0.24
bloomfilter,RandomBaseline_test,A Mathematician's Apology,Religion_50,0.52,0.38,0.44,0.36,0.36,0.46,0.36,0.32,0.44,0.42,0.44,0.36,0.4,0.42,0.36,0.38,0.36,0.3,0.36,0.42,0.48,0.44,0.44,0.38,0.2,0.32,0.38
bloomfilter,RandomBaseline_test,Agasha Temple of Wisdom,Religion_50,0.16,0.1,0.14,0.1,0.14,0.12,0.14,0.18,0.18,0.12,0.12,0.1,0.18,0.14,0.12,0.14,0.14,0.16,0.14,0.16,0.14,0.16,0.16,0.12,0.08,0.08,0.12
bloomfilter,RandomBaseline_test,Alatrism,Religion_50,0.18,0.02,0.12,0.1,0.08,0.14,0.06,0.04,0.1,0.18,0.08,0.12,0.1,0.22,0.06,0.06,0.06,0.06,0.08,0.04,0.1,0.14,0.1,0.08,0.04,0.1,0.06
bloomfilter,RandomBaseline_test,Burkitt Medal,Religion_50,0.04,0.06,0.08,0.12,0.1,0.08,0.1,0.08,0.08,0.1,0.08,0.1,0.08,0.08,0.1,0.06,0.12,0.08,0.08,0.08,0.1,0.1,0.1,0.08,0.12,0.06,0.1
bloomfilter,RandomBaseline_test,Civil religion,Religion_50,0.66,0.32,0.36,0.5,0.3,0.52,0.44,0.42,0.44,0.44,0.54,0.38,0.36,0.54,0.34,0.38,0.58,0.36,0.42,0.4,0.36,0.52,0.46,0.3,0.32,0.52,0.4
bloomfilter,RandomBaseline_test,Compensationism,Religion_50,0.28,0.26,0.28,0.24,0.2,0.2,0.2,0.16,0.26,0.24,0.2,0.34,0.26,0.28,0.2,0.18,0.28,0.2,0.22,0.24,0.2,0.22,0.28,0.18,0.16,0.26,0.18
bloomfilter,RandomBaseline_test,Criticism of Judaism,Religion_50,0.58,0.36,0.42,0.42,0.28,0.46,0.42,0.42,0.54,0.44,0.42,0.32,0.36,0.66,0.4,0.42,0.46,0.34,0.38,0.46,0.44,0.5,0.5,0.36,0.22,0.46,0.32
bloomfilter,RandomBaseline_test,Criticism of religion,Religion_50,0.64,0.5,0.48,0.62,0.4,0.6,0.56,0.46,0.7,0.62,0.54,0.44,0.44,0.8,0.56,0.62,0.56,0.48,0.56,0.6,0.52,0.72,0.58,0.4,0.5,0.62,0.48
bloomfilter,RandomBaseline_test,Dini Ya Msambwa,Religion_50,0.48,0.44,0.46,0.42,0.38,0.5,0.5,0.46,0.54,0.34,0.38,0.34,0.42,0.42,0.42,0.44,0.42,0.4,0.44,0.42,0.38,0.48,0.48,0.34,0.34,0.44,0.44
bloomfilter,RandomBaseline_test,Disputationes,Religion_50,0.38,0.34,0.42,0.32,0.24,0.4,0.36,0.32,0.34,0.28,0.34,0.32,0.4,0.48,0.32,0.36,0.42,0.34,0.36,0.4,0.28,0.38,0.32,0.38,0.2,0.4,0.3
bloomfilter,RandomBaseline_test,Diurnal offices,Religion_50,0.0,0.02,0.04,0.02,0.04,0.0,0.02,0.04,0.02,0.02,0.04,0.0,0.02,0.02,0.02,0.04,0.04,0.08,0.06,0.0,0.0,0.0,0.02,0.0,0.04,0.04,0.02
bloomfilter,RandomBaseline_test,Earthseed,Religion_50,0.4,0.38,0.36,0.5,0.26,0.4,0.42,0.32,0.48,0.52,0.32,0.38,0.42,0.5,0.34,0.44,0.36,0.38,0.32,0.36,0.4,0.38,0.46,0.16,0.22,0.32,0.34
